timestamp_ns,x,y,servo_angle_rad
0,0.9789210557937622,0.5989134907722473,3.081382345478801
35761717,0.9458988308906555,0.6278106570243835,3.081382345478801
69092249,0.9125217795372009,0.6535565853118896,3.081382345478801
99079583,0.8791064620018005,0.6859776973724365,3.081382345478801
136477307,0.8464707136154175,0.7167634963989258,3.081382345478801
167530930,0.8146913051605225,0.7449218034744263,3.081382345478801
199733025,0.7837120890617371,0.7744352221488953,3.081382345478801
235578354,0.7530001997947693,0.7980763912200928,3.081382345478801
267806097,0.7221699357032776,0.8179709315299988,3.081382345478801
300636559,0.6903190016746521,0.8385792374610901,2.5767592653901485
335988205,0.657705545425415,0.8521718978881836,2.5767592653901485
366944440,0.6240209937095642,0.8707801699638367,2.5767592653901485
400930930,0.5897576808929443,0.8925563097000122,2.5767592653901485
432809398,0.555079460144043,0.9139053225517273,2.5767592653901485
469417184,0.5204667448997498,0.9393497109413147,2.5767592653901485
511659539,0.4858211874961853,0.9630186557769775,2.5767592653901485
532103332,0.4527324438095093,0.9771813750267029,2.5767592653901485
568065771,0.41938480734825134,0.9919134974479675,2.5767592653901485
600727104,0.3869761526584625,1.0026673078536987,2.5767592653901485
632229260,0.3542778193950653,1.0074702501296997,2.5767592653901485
672264724,0.321730375289917,1.0150200128555298,2.5767592653901485
704359857,0.28801319003105164,1.0202443599700928,2.5767592653901485
740915940,0.2535422146320343,1.0267105102539062,2.5767592653901485
773345126,0.22066403925418854,1.0454617738723755,2.5767592653901485
805471352,0.19757144153118134,1.0852186679840088,0.0574320934443538
833251499,0.18111757934093475,1.133232593536377,0.0574320934443538
872238508,0.17554476857185364,1.1422555446624756,0.0574320934443538
903742386,0.17947092652320862,1.1366289854049683,0.0574320934443538
937269343,0.18488170206546783,1.126518964767456,0.0574320934443538
964608900,0.1848641335964203,1.1271816492080688,0.0574320934443538
1003385651,0.18514247238636017,1.1282179355621338,0.0574320934443538
1035155102,0.1852530539035797,1.1283576488494873,0.0574320934443538
1063680836,0.1855270266532898,1.1274769306182861,0.0574320934443538
1109455331,0.18663647770881653,1.1265045404434204,0.0574320934443538
1133352785,0.18698017299175262,1.126546025276184,0.0574320934443538
1164655609,0.1877059042453766,1.125648021697998,0.0574320934443538
1201415264,0.18872535228729248,1.1244240999221802,0.0574320934443538
1232759681,0.1907784342765808,1.1211177110671997,0.0574320934443538
1265978584,0.19293475151062012,1.1213916540145874,0.0574320934443538
1302059484,0.1956217885017395,1.1178200244903564,0.6985951138568391
1333021108,0.19796153903007507,1.118207573890686,0.6985951138568391
1364667800,0.1993459165096283,1.120488166809082,0.6985951138568391
1396572769,0.2000674158334732,1.1239556074142456,0.6985951138568391
1432995982,0.19799800217151642,1.1090364456176758,0.6985951138568391
1465798832,0.19805578887462616,1.0664528608322144,0.6985951138568391
1496781530,0.1985713243484497,1.046812891960144,0.6985951138568391
1533480907,0.19720107316970825,1.028232216835022,0.6985951138568391
1566076574,0.19690591096878052,1.0080772638320923,0.6985951138568391
1598106578,0.1969967782497406,0.995449960231781,0.6985951138568391
1633174635,0.19585619866847992,0.9918556213378906,0.6985951138568391
1665633562,0.19644470512866974,0.9880656599998474,0.6985951138568391
1697247440,0.19737012684345245,0.9823194146156311,0.6985951138568391
1733997076,0.19733141362667084,0.9819360375404358,0.6985951138568391
1766997573,0.19732528924942017,0.980455219745636,0.6985951138568391
1799294780,0.198417529463768,0.9740897417068481,1.7316612127313882
1829365021,0.1988740712404251,0.9707413911819458,1.7316612127313882
1867097798,0.19813479483127594,0.966822624206543,1.7316612127313882
1898700417,0.2008446305990219,0.9574046730995178,1.7316612127313882
1931039104,0.2029086798429489,0.9527183175086975,1.7316612127313882
1968272126,0.2062457650899887,0.9449976086616516,1.7316612127313882
1997573910,0.21349240839481354,0.9353210926055908,1.7316612127313882
2030460667,0.22857148945331573,0.9218084216117859,1.7316612127313882
2066502642,0.2510075569152832,0.9050732851028442,1.7316612127313882
2098536183,0.28254491090774536,0.8893719911575317,1.7316612127313882
2128577925,0.3269713819026947,0.874684751033783,1.7316612127313882
2165141525,0.3842952847480774,0.8621590733528137,1.7316612127313882
2196061983,0.45410439372062683,0.848562479019165,1.7316612127313882
2228377003,0.5388132333755493,0.818437933921814,1.7316612127313882
2261564351,0.6339291930198669,0.7631878852844238,1.7316612127313882
2296735110,0.7421019673347473,0.7177066802978516,1.7316612127313882
2328484247,0.848915159702301,0.6705965399742126,3.080028320574061
2362063277,0.9514660239219666,0.615503191947937,3.080028320574061
2397168388,1.043028473854065,0.5610827207565308,3.080028320574061
2429520890,1.1175960302352905,0.5137882232666016,3.080028320574061
2464310060,1.1695971488952637,0.47644245624542236,3.080028320574061
2495526922,1.205726146697998,0.445959210395813,3.080028320574061
2531828118,1.2326592206954956,0.4212104380130768,3.080028320574061
